

Title
Rsync replaced with openrsync on macOS Sequoia
AI masters Minecraft: DeepMind program finds diamonds without being taught
Glamorous Toolkit
Dark Mirror Ideologies
We asked camera companies why their RAW formats are all different and confusing
Writing C for Curl
A Multiwavelength Look at Proxima Centauri's Flares
New Theoretical Research Trends in Cartography (2001)
"Standard Ebooks: liberated ebooks, carefully produced for the true book lover"
How the Atlantic's Jeffrey Goldberg Got Added to the White House Signal Chat
Journey to Optimize Cloudflare D1 Database Queries
Charging electric vehicles 5x faster in subfreezing temps
Reinventing Feathering for the Vectorian Era
Microcomputers – The First Wave: Responding to Altair
Anagram Word Game
AEgIS turns phone sensors into antimatter camera of unprecedented resolution
Stay on schedule with Raspberry Pi Pico W and an e-ink dashboard
Use the Gemini API with OpenAI Fallback in TypeScript
Why Lotus Domino? (2024)
The “S” in MCP Stands for Security
MonkeysPaw – A prompt-driven web framework in Ruby
Recent AI model progress feels mostly like bullshit
Food fermentation in space: Opportunities and challenges
Baby Steps into Genetic Programming
Data centers contain 90% crap data
Eavesdropping on smartphone 13.56MHz NFC polling during screen wake-up/unlock
Breaking computers taught me to build them
Knowing where your engineer salary comes from
"Thomas Rattigan, short-lived Commodore CEO"
Foundry (YC F24) Is Hiring
